Class,Weight
Clams,0.8657202011239278
Corals,0.9827094174920262
Crabs,1.2726086956521738
Dolphin,0.6207847295864263
Eel,1.131207729468599
Fish,1.189353921170256
Jelly Fish,0.6411126930237652
Lobster,1.1212411415437655
Nudibranchs,1.3538390379278447
Octopus,1.3256340579710144
Otter,1.0431218816821097
Penguin,0.9942255434782609
Puffers,1.4461462450592886
Sea Rays,0.883756038647343
Sea Urchins,0.9532649405634261
Seahorse,1.339588100686499
Seal,1.339588100686499
Sharks,0.9426731078904992
Shrimp,1.2236622073578596
Squid,1.1212411415437655
Starfish,1.0221756591583726
Turtle_Tortoise,0.5758410387566398
Whale,1.0561068013710986
